FID,IDENTITY_,Litho,xx,Shape_Leng,Shape_Area
1277,CHN42241,smmx__,sm,37718.471771099997568,22993307.131000000983477
1278,CHN42243,pa____,pa,17661.317919500001153,15362928.151300000026822
1279,CHN42246,scpu__,sc,17073.736499999999069,19343676.697599999606609
1280,CHN42249,smmxvr,sm,10070.514910199999576,3064180.921790000051260
1281,CHN42262,sumx__,su,24459.434864700000617,17942242.278799999505281
1282,CHN42268,pa____,pa,16665.729359900000418,19386529.661400001496077
1283,CHN42269,vb____,vb,8338.945525209999687,1815929.566249999916181
1284,CHN42277,sumx__,su,41616.185117499997432,51144306.111900001764297
1285,CHN42281,smmxvr,sm,44565.068318199999339,45248840.824000000953674
1286,CHN42283,vb____,vb,12243.944834600000831,7531684.983509999699891
1287,CHN42286,smmx__,sm,123573.736046999998507,393474789.162000000476837
1288,CHN42289,pb__mt,pb,10593.481124300000374,5945303.719630000181496
1289,CHN42324,scmx__,sc,283639.775710000016261,878011647.337000012397766
1290,CHN42326,smmxvr,sm,32433.968035499998223,18219055.855900000780821
1291,CHN42327,pa____,pa,70244.200993699996616,155122425.055000007152557
1292,CHN42329,smmx__,sm,71697.150450100001763,140252206.198000013828278
1293,CHN42344,smmxvr,sm,38249.295226299997012,30029524.771200001239777
1294,CHN42348,smmxvr,sm,37732.799126099998830,13165844.292500000447035
1295,CHN42353,smmxvr,sm,104498.097844999996596,216350288.465000003576279
1296,CHN42367,pb____,pb,8341.139476709999144,4750931.458929999731481
1297,CHN42370,smmxvr,sm,10478.915069700000458,6125786.489000000059605
1298,CHN42395,smmxvr,sm,258010.739075999998022,217985444.405999988317490
1299,CHN42402,suss__,su,174406.670366000005743,200009225.046000003814697
1300,CHN42407,smmxvr,sm,832412.903172999969684,3160392216.960000038146973
1301,CHN42413,smmx__,sm,353439.201597000006586,1097946161.369999885559082
1302,CHN42414,smmxvr,sm,33868.529427399997076,26195551.282299999147654
1303,CHN42429,ssshmt,ss,587142.025275000021793,1509165291.119999885559082
1304,CHN42430,smmxvr,sm,199508.700554999988526,276758683.399999976158142
1305,CHN42433,scpu__,sc,11955.522774999999456,10679678.970599999651313
1306,CHN42434,scpu__,sc,9145.680884380000862,6494186.770460000261664
1307,CHN42445,pb____,pb,9650.911993219999204,4512894.095560000278056
1308,CHN42457,smmx__,sm,98243.697487199999159,160804022.166999995708466
1309,CHN42461,pa____,pa,6803.879125739999836,2617338.527550000231713
1310,CHN42469,pb____,pb,6917.201295939999909,3068265.311530000064522
1311,CHN42473,smmx__,sm,29702.911240299999918,36272026.844400003552437
1312,CHN42474,sumx__,su,54452.036625699998694,71992228.031299993395805
1313,CHN42494,smmxvr,sm,39758.570280599997204,24344944.028200000524521
1314,CHN42501,pa____,pa,58953.487797100002354,227415860.956999987363815
1315,CHN42506,vb____,vb,4761.659068189999743,734835.875258999993093
1316,CHN42511,smmxvr,sm,378027.693259000021499,436408657.394999980926514
1317,CHN42522,smmx__,sm,261757.086691000004066,761152757.751999974250793
1318,CHN42523,ig____,ig,71126.361322500000824,98511858.188500002026558
1319,CHN42528,smmxvr,sm,12925.151373099999546,7441995.800459999591112
1320,CHN42539,mtpu__,mt,249824.163903000007849,1152031115.970000028610229
1321,CHN42544,sssh__,ss,250614.035865000012564,831250844.213000059127808
1322,CHN42552,smmxvr,sm,105238.720883000001777,130926764.949000000953674
1323,CHN42553,smmxvr,sm,46947.337783299997682,33741378.285899996757507
1324,CHN42558,smmxvr,sm,80903.041332699998748,55164176.106100000441074
1325,CHN42563,pa____,pa,29040.861225199998444,31181509.726199999451637
1326,CHN42564,mtpu__,mt,152137.203928000002634,325579067.675999999046326
1327,CHN42576,pa____,pa,11808.599792799999705,8519795.019559999927878
1328,CHN42577,smmxvr,sm,11226.206464299999425,4690039.930750000290573
1329,CHN42585,smmxvr,sm,48824.238541999999143,32082549.798900000751019
1330,CHN42600,smmx__,sm,337635.397729000018444,1549513878.410000085830688
1331,CHN42601,smmx__,sm,33934.893790100002661,56152856.382799997925758
1332,CHN42614,sumx__,su,21127.019700400000147,19673820.935800001025200
1333,CHN42615,smmx__,sm,18328.561300199999096,10855887.533900000154972
1334,CHN42618,mtpu__,mt,187784.798111000010977,258870677.386999994516373
1335,CHN42624,smmxvr,sm,21031.057268399999884,7245024.350949999876320
